,companyName,Ranking Actual,craftWebsite,imgUrl
182,Sherwin-Williams,180,https://craft.co/sherwin-williams,https://uploads1.craft.co/uploads/company/logo/1146xx/114619/normal_d4e2195b129036ce.jpg
183,Fluor,181,https://craft.co/fluor,https://uploads5.craft.co/uploads/company/logo/325xx/32564/normal_483977f47ece74a8.jpg
184,PayPal Holdings,182,https://craft.co/paypal,https://uploads4.craft.co/uploads/company/logo/9xx/999/normal_e558fac1d9dfd0b7.jpg
185,D.R. Horton,183,https://craft.co/r-d-fasteners-inc,https://uploads2.craft.co/uploads/company/logo/5813xx/581369/normal_8f6ca1f90bba8730.png
186,HollyFrontier,184,https://craft.co/hollyfrontier-corporation,https://uploads1.craft.co/uploads/company/logo/107xx/10753/normal_72a15adbc7f7f974.jpeg
187,Tenneco,185,https://craft.co/tenneco,https://uploads3.craft.co/uploads/company/logo/735xx/73502/normal_jgjMGLy7.jpeg
188,EOG Resources,186,https://craft.co/eog-resources,https://uploads4.craft.co/uploads/company/logo/1702xx/170238/normal_d78af6e3033e835a.png
189,Becton Dickinson,187,https://craft.co/becton-dickinson,https://uploads3.craft.co/uploads/company/logo/108xx/10893/normal_xug2BafP.jpg
190,Lincoln National,188,https://craft.co/lincoln-foodservice-products,
191,PG&E,189,https://craft.co/pg-lifelink,
192,salesforce.com,190,https://craft.co/salesforce,https://uploads4.craft.co/uploads/company/logo/18xx/1878/normal_758a474d71682cc2.jpg
193,Mastercard,191,https://craft.co/mastercard,https://uploads3.craft.co/uploads/company/logo/20xx/2003/normal_c195c2575ff36656.png
194,General Mills,192,https://craft.co/general-mills,https://uploads2.craft.co/uploads/company/logo/20xx/2029/normal_dbb322b60ef85623.png
195,Molina Healthcare,193,https://craft.co/molina-healthcare,https://uploads3.craft.co/uploads/company/logo/536xx/53644/normal_234e96610bbc47b0.jpg
196,Cognizant Technology Solutions,194,https://craft.co/cognizant,https://uploads3.craft.co/uploads/company/logo/18xx/1859/normal_945e1eecb2562ae9.png
197,Marsh & McLennan,195,https://craft.co/marsh-mclennan-comp,https://uploads2.craft.co/uploads/company/logo/1203xx/120341/normal_c3cffc0279a87ef0.jpeg
198,XPO Logistics,196,https://craft.co/xpo-logistics,https://uploads1.craft.co/uploads/company/logo/816xx/81621/normal_AAEAAQAAAAAAAALrAAAAJGFiY2EzZDZhLTk5YTEtNDNiMS05NjM0LTg3YmE4MGYzY2I0MA.png
199,Dominion Energy,197,https://craft.co/dominion-energy,https://uploads4.craft.co/uploads/company/logo/1160xx/116006/normal_5009438c25bbe006.png
