,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
79,TJX,80,https://craft.co/the-tjx,https://uploads4.craft.co/uploads/company/logo/1142xx/114213/normal_8f1d8a6edeb4150b.png,"[((255, 255, 255), 11774), ((167, 19, 49), 2462), ((212, 143, 156), 163)]",3
80,TIAA,81,https://craft.co/tiaa-cref,https://uploads2.craft.co/uploads/company/logo/915xx/91592/normal_6eb0fff5a806c314.jpg,"[((255, 255, 255), 11763), ((104, 188, 235), 2110), ((15, 105, 167), 523), ((0, 11, 59), 2), ((113, 114, 119), 2)]",5
81,Oracle,82,https://craft.co/oracle,https://uploads3.craft.co/uploads/company/logo/167xx/16739/normal_2d0898eaa03f24e4.jpg,"[((200, 71, 52), 13731), ((255, 255, 255), 608), ((220, 132, 128), 61)]",3
82,General Dynamics,83,https://craft.co/general-dynamics,https://uploads4.craft.co/uploads/company/logo/18xx/1822/normal_3a1790d95fcd297e.jpg,"[((0, 82, 155), 3180), ((255, 255, 255), 349), ((102, 150, 190), 71)]",3
83,Deere,84,https://craft.co/john-deere,,0,0
84,Nike,85,https://craft.co/nike,https://uploads1.craft.co/uploads/company/logo/19xx/1973/normal_49e8c85a3a06301e.png,"[((0, 0, 0), 3499), ((255, 255, 255), 75), ((129, 129, 129), 26)]",3
85,Progressive,86,https://craft.co/progressive-insurance,https://uploads4.craft.co/uploads/company/logo/20xx/2009/normal_bb690444dd5a8471.png,"[((36, 182, 255), 12066), ((255, 255, 255), 2333)]",2
86,Publix Super Markets,87,https://craft.co/publix,https://uploads1.craft.co/uploads/company/logo/1169xx/116957/normal_305e249e0fe1854e.jpeg,"[((255, 255, 255), 1817), ((59, 144, 43), 1678), ((151, 197, 148), 105)]",3
87,Coca-Cola,88,https://craft.co/coca-cola-bottling-co-consolidated,https://uploads1.craft.co/uploads/company/logo/120xx/12013/normal_AAEAAQAAAAAAAAOoAAAAJGU5ZTJlY2M4LTVkNTMtNGIwOS1hZmVmLWJhOTA5MTZlZDQ3OQ.png,"[((255, 255, 255), 5791), ((252, 156, 159), 226), ((119, 119, 119), 184), ((255, 0, 0), 162), ((249, 86, 89), 25), ((42, 42, 42), 12)]",6
88,Massachusetts Mutual Life Insurance,89,https://craft.co/massachusetts-mutual-life-insurance-company,https://uploads1.craft.co/uploads/company/logo/2566xx/256644/normal_3bc94c045c2c18c6.jpg,"[((76, 198, 235), 13185), ((4, 45, 107), 1198), ((28, 110, 158), 17)]",3
89,Tech Data,90,https://craft.co/tech-data,https://uploads3.craft.co/uploads/company/logo/132xx/13232/normal_9c7da04632fa372e.jpg,"[((255, 255, 255), 8041), ((2, 178, 227), 3771), ((32, 42, 69), 1535), ((203, 215, 21), 627), ((129, 200, 96), 318), ((70, 188, 154), 85), ((155, 156, 160), 17), ((232, 241, 178), 5), ((141, 247, 255), 1)]",9
90,World Fuel Services,91,https://craft.co/world-fuel-services,https://uploads4.craft.co/uploads/company/logo/119xx/11905/normal_b61f6f18361c1326.png,"[((255, 255, 255), 5521), ((0, 85, 165), 632), ((144, 152, 158), 247)]",3
91,Honeywell International,92,https://craft.co/honeywell,https://uploads2.craft.co/uploads/company/logo/18xx/1830/normal_ba70ff995d9c526f.jpg,"[((239, 49, 37), 13676), ((255, 255, 255), 573), ((224, 141, 137), 150), ((155, 55, 39), 1)]",4
92,ConocoPhillips,93,https://craft.co/conocophillips,https://uploads1.craft.co/uploads/company/logo/921xx/92124/normal_8eb80eba143bf005.jpeg,"[((255, 255, 255), 5821), ((253, 0, 0), 454), ((251, 175, 185), 63), ((161, 61, 61), 62)]",4
93,USAA,94,https://craft.co/usaa,https://uploads5.craft.co/uploads/company/logo/276xx/27638/normal_8d6d0e57a46433d3.jpg,"[((8, 48, 74), 12362), ((252, 255, 255), 1793), ((140, 154, 165), 245)]",3
94,Exelon,95,https://craft.co/exelon,https://uploads1.craft.co/uploads/company/logo/932xx/93278/normal_b988c10d350bb9f4.jpg,"[((255, 255, 255), 12323), ((20, 90, 162), 629), ((149, 191, 143), 506), ((242, 88, 34), 483), ((247, 154, 50), 152), ((47, 150, 69), 132), ((239, 195, 146), 75), ((156, 175, 67), 38), ((74, 79, 85), 25), ((139, 155, 189), 23), ((213, 120, 89), 8), ((0, 2, 31), 4), ((0, 7, 97), 1), ((0, 72, 27), 1)]",14
95,Northrop Grumman,96,https://craft.co/northrop-grumman,https://uploads1.craft.co/uploads/company/logo/627xx/62760/normal_01b958d0968251cd.jpg,"[((0, 0, 0), 12136), ((255, 255, 255), 2074), ((106, 106, 106), 190)]",3
96,Capital One Financial,97,https://craft.co/capital-one,https://uploads3.craft.co/uploads/company/logo/19xx/1990/normal_03abfef897cf0dfe.png,"[((255, 255, 255), 13202), ((11, 77, 121), 691), ((208, 48, 40), 354), ((125, 160, 183), 78), ((232, 155, 151), 71), ((0, 1, 64), 3)]",6
97,Plains GP Holdings,98,https://craft.co/plains-gp-holdings,https://uploads3.craft.co/uploads/company/logo/2566xx/256629/normal_a9f77de94cb45ec5.png,"[((255, 255, 255), 2603), ((4, 36, 84), 752), ((121, 138, 158), 221), ((192, 86, 116), 24)]",4
98,AbbVie,99,https://craft.co/abbvie,https://uploads3.craft.co/uploads/company/logo/1172xx/117226/normal_d4b3b56737d5a828.jpeg,"[((6, 29, 73), 6054), ((241, 255, 255), 219), ((76, 92, 105), 123), ((160, 171, 201), 4)]",4
